osm_id,name
n1028724118,"{""cs"": ""Tigil"", ""de"": ""Tigil"", ""en"": ""Tigil"", ""es"": ""Tigil"", ""fr"": ""Tigil"", ""pl"": ""Tigil"", ""ru"": ""Тигиль"", ""tr"": ""Tigil"", ""es_AR"": ""Tigil""}"
n1028724127,"{""cs"": ""Kyra"", ""de"": ""Kyra"", ""en"": ""Kyra"", ""es"": ""Kyra"", ""fr"": ""Kyra"", ""ja"": ""キラ"", ""ko"": ""키라"", ""pl"": ""Kyra"", ""ru"": ""Кыра"", ""th"": ""ไครา"", ""tr"": ""Kyra"", ""vi"": ""Kyra"", ""es_AR"": ""Kyra"", ""zh_TW"": ""基拉""}"
n1028724150,"{""cs"": ""Lesozavodsk"", ""de"": ""Lesozavodsk"", ""en"": ""Lesozavodsk"", ""es"": ""Lesozavodsk"", ""fr"": ""Lessozavodsk"", ""ja"": ""レソザボーツク"", ""ko"": ""레소자보츠크"", ""pl"": ""Lesozawodsk"", ""ru"": ""Лесозаводск"", ""th"": ""เลโซซาวอดสก์"", ""tr"": ""Lesozavodsk"", ""vi"": ""Lesozavodsk"", ""es_AR"": ""Lesozavodsk"", ""zh_TW"": ""列索札伏次克""}"
n1028724158,"{""cs"": ""Bolshaya Chernigovka"", ""de"": ""Bolshaya Chernigovka"", ""en"": ""Bolshaya Chernigovka"", ""es"": ""Bolshaya Chernigovka"", ""fr"": ""Bolshaya Chernigovka"", ""pl"": ""Bolszaja Czernigowka"", ""ru"": ""Большая Черниговка"", ""tr"": ""Bolshaya Chernigovka"", ""es_AR"": ""Bolshaya Chernigovka""}"
n1028724168,"{""cs"": ""Čumikan"", ""de"": ""Chumikan"", ""en"": ""Chumikan"", ""es"": ""Chumikan"", ""fr"": ""Chumikan"", ""ja"": ""チュミカン"", ""ko"": ""추미칸"", ""pl"": ""Czumikan"", ""ru"": ""Чумикан"", ""th"": ""ชูมิคาน"", ""tr"": ""Chumikan"", ""vi"": ""Chumikan"", ""es_AR"": ""Chumikan"", ""zh_TW"": ""楚米坎""}"
n1028724183,"{""en"": ""Baltaj"", ""ru"": ""Балтай""}"
n1028724199,"{""cs"": ""Batagaj-Alyta"", ""de"": ""Batagaj-Alyta"", ""en"": ""Batagay-Alyta"", ""es"": ""Batagay Alyta"", ""fr"": ""Batagay-Alyta"", ""pl"": ""Batagaj-Alyta"", ""ru"": ""Батагай-Алыта"", ""tr"": ""Batagay-Alyta"", ""es_AR"": ""Batagay Alyta""}"
n1028724218,"{""cs"": ""Kholmogory"", ""de"": ""Kholmogory"", ""en"": ""Kholmogory"", ""es"": ""Kholmogory"", ""fr"": ""Kholmogory"", ""pl"": ""Chołmogory"", ""ru"": ""Холмогоры"", ""tr"": ""Kholmogory"", ""es_AR"": ""Kholmogory""}"
n1028724239,"{""cs"": ""Gryazovets"", ""de"": ""Gryazovets"", ""en"": ""Gryazovets"", ""es"": ""Gryazovets"", ""fr"": ""Griazovets"", ""pl"": ""Grjazowec"", ""ru"": ""Грязовец"", ""tr"": ""Gryazovets"", ""es_AR"": ""Gryazovets""}"
n1028724251,"{""cs"": ""Pavlogradka"", ""de"": ""Pavlogradka"", ""en"": ""Pavlogradka"", ""es"": ""Pavlogradka"", ""fr"": ""Pavlogradka"", ""pl"": ""Pawłogradka"", ""ru"": ""Павлоградка"", ""tr"": ""Pavlogradka"", ""es_AR"": ""Pavlogradka""}"
n1028724277,"{""cs"": ""Ochotsk"", ""de"": ""Ochotsk"", ""en"": ""Okhotsk"", ""es"": ""Okhotsk"", ""fr"": ""Okhotsk"", ""pl"": ""Ochock"", ""ru"": ""Охотск"", ""tr"": ""Okhotsk"", ""es_AR"": ""Okhotsk""}"
n1028724296,"{""cs"": ""Ytyk-Kjujol"", ""de"": ""Ytyk-Kyuyol"", ""en"": ""Ytyk-Kyuyol"", ""es"": ""Ytyk Kyuyol"", ""fr"": ""Ytyk-Kyuyol"", ""pl"": ""Ytyk-Kyuyol"", ""ru"": ""Ытык-Кюёль"", ""tr"": ""Ytyk-Kyuyol"", ""es_AR"": ""Ytyk Kyuyol""}"
n1028724322,"{""cs"": ""Nerčinskij Zavod"", ""de"": ""Nerchinsky Zavod"", ""en"": ""Nerchinsky Zavod"", ""es"": ""Nerchinsky Zavod"", ""fr"": ""Nerchinsky Zavod"", ""ja"": ""ニーチンスキイ・ザヴォッド"", ""ko"": ""네르친스키자보트"", ""pl"": ""Nerczinskij Zawod"", ""ru"": ""Нерчинский Завод"", ""th"": ""เนอร์ชินสกี ซาวอด"", ""tr"": ""Nerchinsky Zavod"", ""vi"": ""Nerchinsky Zavod"", ""es_AR"": ""Nerchinsky Zavod"", ""zh_TW"": ""涅爾欽斯基扎沃德""}"
n1029137267,"{""ru"": ""Вершина Тёи""}"
n1029137478,"{""cs"": ""Jurjung-Chaja"", ""de"": ""Yuryung-Khaya"", ""en"": ""Yuryung-Khaya"", ""es"": ""Yuryung-Khaya"", ""fr"": ""Yuryung-Khaya"", ""pl"": ""Hurjung-Chaja"", ""ru"": ""Юрюнг-Хая"", ""tr"": ""Yuryung-Khaya"", ""es_AR"": ""Yuryung-Khaya""}"
n1029249537,"{""cs"": ""Pestravka"", ""de"": ""Pestravka"", ""en"": ""Pestravka"", ""es"": ""Pestravka"", ""fr"": ""Pestravka"", ""pl"": ""Pestrawka"", ""ru"": ""Пестравка"", ""tr"": ""Pestravka"", ""es_AR"": ""Pestravka""}"
n1029257011,"{""en"": ""Ylakiai"", ""ru"": ""Илакяй""}"
n1029258160,"{""en"": ""Sestry"", ""ru"": ""Сёстры""}"
n1029258192,"{""en"": ""Teplovskiy"", ""ru"": ""Тепловский""}"
n1030334375,"{""cs"": ""Kapustnoe"", ""de"": ""Kapustnoe"", ""en"": ""Kapustnoe"", ""es"": ""Kapustnoe"", ""fr"": ""Kapustnoe"", ""pl"": ""Kapustnoje"", ""ru"": ""Капустное"", ""tr"": ""Kapustnoe"", ""es_AR"": ""Kapustnoe""}"
n1030445849,"{""cs"": ""Bolshaya Glushitsa"", ""de"": ""Bolshaya Glushitsa"", ""en"": ""Bolshaya Glushitsa"", ""es"": ""Bolshaya Glushitsa"", ""fr"": ""Bolshaya Glushitsa"", ""pl"": ""Bolszaja Głuszca"", ""ru"": ""Большая Глушица"", ""tr"": ""Bolshaya Glushitsa"", ""es_AR"": ""Bolshaya Glushitsa""}"
n1030495034,"{""ru"": ""Верх-Урюм""}"
n1030646661,"{""cs"": ""Gverzdon"", ""de"": ""Gverzdon"", ""en"": ""Gverzdon"", ""es"": ""Gverzdon"", ""fr"": ""Gverzdon"", ""pl"": ""Gwerzdon"", ""ru"": ""Гверздонь"", ""tr"": ""Gverzdon"", ""es_AR"": ""Gverzdon""}"
n1030725274,"{""en"": ""New Ross"", ""es"": ""Nueva Ross"", ""pt"": ""New Ross"", ""es_AR"": ""Nueva Ross"", ""pt_BR"": ""New Ross""}"
n1031241901,"{""en"": ""Terebishche"", ""ru"": ""Теребище""}"
n1032273247,"{""cs"": ""Popigaj"", ""de"": ""Popigay"", ""en"": ""Popigay"", ""es"": ""Popigay"", ""fr"": ""Popigaï"", ""pl"": ""Popigaj"", ""ru"": ""Попигай"", ""tr"": ""Popigay"", ""es_AR"": ""Popigay""}"
n1032631116,"{""ru"": ""Найфельд""}"
n1032777112,"{""cs"": ""Kniaze Volkonskoje"", ""de"": ""Kniaze Volkonskoe"", ""en"": ""Kniaze-Volkonskoye"", ""es"": ""Kniaze Volkonskoe"", ""fr"": ""Kniaze-Volkonskoye"", ""ja"": ""クニアゼ＝ホルコンスコエ"", ""ko"": ""크냐제볼콘스코예"", ""pl"": ""Kniazie Wołkonskoje"", ""ru"": ""Князе-Волконское"", ""th"": ""เนียซ วอลคอนสกอย"", ""tr"": ""Kniaze-Volkonskoye"", ""vi"": ""Kniaze-Volkonskoye"", ""es_AR"": ""Kniaze Volkonskoe"", ""zh_TW"": ""克尼阿茲伏爾康斯可耶""}"
n1034041894,"{""ru"": ""Карабашка""}"
n1035297707,"{""cs"": ""El Atteuf"", ""de"": ""El Atteuf"", ""en"": ""El Atteuf"", ""es"": ""El Atteuf"", ""fr"": ""El Atteuf"", ""pl"": ""El Atteuf"", ""tr"": ""El Atteuf"", ""es_AR"": ""El Atteuf""}"
n1035398271,"{""cs"": ""Diéma"", ""de"": ""Diéma"", ""en"": ""Diéma"", ""es"": ""Diéma"", ""fr"": ""Diéma"", ""ja"": ""ディーマ"", ""ko"": ""디에마"", ""pl"": ""Diéma"", ""ru"": ""Дьема"", ""th"": ""เดียมา"", ""tr"": ""Diéma"", ""vi"": ""Diéma"", ""es_AR"": ""Diéma"", ""zh_TW"": ""迭馬""}"
